Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,100,,99.90926766,,99.95363215,,100,,100
,100,,100,,100,,100,,100
,99.86282579,,99.97409997,,100,,100,,92.01065246
,93.96551724,,100,,100,,100,,100
,100,,100,,100,,100,,92.01065246
,99.83212087,,95.62404423,,100,,100,,92.01065246
,100,,97.84222738,,100,,100,,92.01065246
,100,,99.73684211,,100,,100,,92.01065246
,100,,100,,100,,100,,92.01065246
,37.28598605,,94.89396035,,100,,100,,92.01065246
,100,,100,,100,,100,,92.01065246
,100,,100,,100,,100,,92.01065246
,100,,99.97862334,,100,,96.53092006,,100
,100,,100,,100,,100,,92.01065246
,100,,100,,98.01311654,,100,,92.01065246
,100,,100,,100,,100,,92.01065246
,91.40794224,,99.90387696,,100,,100,,92.01065246
,90.27993779,,84.91068035,,97.92002646,,100,,92.01065246
,100,,99.81261711,,99.98239824,,100,,92.01065246
,91.41414141,,100,,100,,100,,92.01065246
,95.71890145,,100,,100,,100,,94.65049929
,93.09803922,,100,,100,,100,,94.87179487
,99.68823071,,99.92181392,,100,,99.44,,94.87179487
,100,,100,,99.92963012,,100,,94.87179487
,100,,100,,100,,100,,94.87179487
,100,,100,,100,,100,,94.87179487
,100,,100,,100,,100,,94.73684211
,100,,100,,99.95603043,,100,,94.73684211
,100,,100,,100,,100,,99.86504723
,100,,100,,100,,100,,94.897236
,100,,100,,100,,100,,95.04600142
,100,,100,,99.63261331,,100,,95.04600142
,100,,99.984375,,100,,100,,95.04600142
,100,,84.37935844,,100,,100,,95.04600142
,100,,100,,94.97418915,,100,,95.04600142
,100,,100,,100,,100,,95.04600142
,100,,100,,99.90334014,,100,,95.04600142
,100,,100,,99.98925771,,100,,95.04600142
,100,,99.95730601,,100,,100,,95.04600142
,100,,91.47075967,,99.96777485,,100,,95.04600142
,99.68968192,,100,,100,,100,,95.04600142
,100,,100,,100,,100,,100
,100,,100,,94.64064269,,100,,95.04600142
,100,,87.8793851,,100,,98.96825397,,93.81944444
,100,,100,,92.98725972,,100,,92.60726073
,100,,89.83151931,,100,,100,,92.60726073
